Zip,State,Population
72666,AR,518
72668,AR,731
72669,AR,499
72670,AR,435
72675,AR,1196
72679,AR,118
72680,AR,397
72682,AR,1050
72683,AR,784
72685,AR,933
72686,AR,546
72687,AR,5695
72701,AR,28372
72703,AR,24649
72712,AR,14439
72714,AR,8645
72716,AR,459
72717,AR,781
72718,AR,1629
72719,AR,1797
72721,AR,491
72722,AR,1633
72727,AR,1767
72729,AR,380
72730,AR,3495
72732,AR,1389
72733,AR,581
72734,AR,5145
72735,AR,1639
72736,AR,3508
72738,AR,1024
72739,AR,1188
72740,AR,7021
72742,AR,566
72744,AR,3129
72745,AR,5077
72747,AR,214
72749,AR,615
72751,AR,3584
72752,AR,422
72753,AR,4105
72756,AR,34081
72760,AR,608
72761,AR,11677
72762,AR,20104
72764,AR,17792
72768,AR,982
72769,AR,1013
72773,AR,1307
72774,AR,4473
72776,AR,179
72801,AR,25169
72820,AR,488
72821,AR,2292
72823,AR,4835
72824,AR,988
72826,AR,200
72827,AR,208
72828,AR,164
72830,AR,11304
72832,AR,1179
72833,AR,3292
72834,AR,8281
72835,AR,645
72837,AR,5687
72838,AR,150
72839,AR,584
72840,AR,846
72841,AR,243
72842,AR,1294
72843,AR,5067
72845,AR,848
72846,AR,2905
72847,AR,2396
72851,AR,891
72852,AR,221
72853,AR,1823
72854,AR,334
72855,AR,5718
72856,AR,117
72857,AR,1260
72858,AR,2494
