State/Zip,2000 Population
AR72183,836
AR721HH,0
AR721XX,0
AR72201,636
AR72202,12868
AR72204,32356
AR72205,24120
AR72206,25901
AR72207,9784
AR72209,36847
AR72210,6331
AR72211,15538
AR72212,9859
AR72223,16159
AR72227,12164
AR722HH,0
AR72301,27378
AR72311,174
AR72315,27426
AR72320,1902
AR72321,154
AR72322,195
AR72324,2285
AR72326,2210
AR72327,1965
AR72328,74
AR72329,90
AR72330,880
AR72331,4052
AR72332,153
AR72333,1074
AR72335,19546
AR72338,44
AR72339,324
AR72340,115
AR72341,314
AR72342,7357
AR72346,929
AR72347,965
AR72348,3279
AR72350,1482
AR72351,862
AR72353,97
AR72354,2715
AR72355,3042
AR72358,1890
AR72359,640
AR72360,8029
AR72364,12627
AR72365,3566
AR72366,3053
AR72367,264
AR72368,1380
AR72369,61
AR72370,10074
AR72372,2393
AR72373,1943
AR72374,872
AR72376,2126
AR72377,85
AR72379,85
AR72383,74
AR72384,1345
AR72386,2084
AR72387,41
AR72389,361
AR72390,10595
AR72392,532
AR72394,854
AR72395,1153
AR72396,14169
AR723HH,0
AR723XX,47
AR72401,47422
AR72404,16546
AR72410,633
AR72411,2352
AR72412,609
AR72413,584
AR72414,383
AR72415,1625
AR72416,4998
AR72417,2712
AR72419,1914
AR72421,553
AR72422,5613
AR72424,81
AR72425,521
AR72426,200
AR72427,178
AR72428,141
AR72429,495
AR72430,419
AR72431,452
AR72432,6517
AR72433,3421
AR72434,1964
AR72435,652
AR72436,1098
AR72437,3330
AR72438,2610
AR72440,139
AR72441,124
AR72442,4560
AR72443,2714
AR72444,2081
AR72445,0
AR72447,2080
AR72449,212
AR72450,31328
AR72453,275
AR72454,5252
AR72455,12605
AR72456,773
AR72457,245
AR72458,503
AR72459,1065
AR72460,752
AR72461,4014
AR72462,496
AR72464,249
AR72466,1113
AR72467,464
AR72469,1336
AR72470,396
AR72471,1263
AR72472,9210
AR72473,2443
AR72475,90
AR72476,7178
AR72478,345
AR72479,1699
AR72482,1579
AR724HH,0
AR72501,23892
AR72512,2350
AR72513,2830
AR72515,111
AR72517,316
AR72519,3220
AR72520,223
AR72521,4908
AR72522,251
AR72523,1240
AR72524,351
AR72525,202
AR72526,115
AR72527,480
AR72528,248
AR72529,4623
AR72530,1858
AR72531,546
AR72532,1200
AR72533,398
AR72534,1113
AR72536,602
AR72537,875
AR72538,378
AR72539,318
AR72540,166
AR72542,3454
AR72543,11617
AR72544,719
AR72550,691
AR72553,77
AR72554,3129
AR72555,156
AR72556,3369
AR72560,7664
AR72561,1047
AR72562,2081
AR72564,349
AR72565,1182
AR72566,390
AR72567,246
AR72568,1562
AR72569,531
AR72571,497
AR72572,190
AR72573,167
AR72576,3555
AR72577,696
AR72578,114
AR72579,1155
AR72581,1077
AR72583,1610
AR72584,321
AR72585,155
AR72587,130
AR725HH,0
AR72601,27841
AR72610,154
AR72611,1455
AR72616,9753
AR72617,383
AR72619,2000
AR72623,489
AR72624,686
AR72626,1143
AR72628,931
AR72629,602
AR72630,341
AR72631,3334
AR72632,4160
AR72633,1641
AR72634,4334
AR72635,3147
AR72638,6828
AR72639,410
AR72640,464
AR72641,2858
AR72642,2018
AR72644,
AR72645,1821
AR72648,781
AR72650,4552
AR72651,1024
AR72653,26509
